Time(s) CPU_Power(mW) GPU_Power(mW) ANE_Power(mW)
1	60	2	0
2	87	2	0
3	59	12	0
4	359	10	0
5	118	4	0
6	45	0	0
7	31	4	0
8	5323	0	0
9	5390	0	0
10	4554	0	0
11	26	0	0
12	33	0	0
13	473	4	0
14	1018	41	0
15	2170	886	0
16	1040	988	0
17	1082	1200	0
18	1932	1334	0
19	1623	1467	0
20	856	1416	0
21	1170	1253	0
22	1605	5262	0
23	2565	7084	0
24	1747	7086	0
25	2667	5071	0
26	2527	8100	0
27	2081	24	0
28	20	0	0
29	35	0	0
30	29	0	0
31	94	0	0
32	108	0	0
33	214	18	0
34	39	0	0
35	80	0	0
36	69	0	0
37	90	0	0
38	78	2	0
39	53	0	0
40	45	0	0
41	51	0	0
42	37	0	0
43	59	0	0
44	29	0	0
45	49	0	0
46	35	0	0
47	53	0	0
48	33	0	0
49	65	0	0
50	35	0	0
51	47	0	0
52	31	0	0
53	49	0	0
54	41	0	0
55	210	4	0
56	75	6	0
57	107	35	0
58	45	8	0
59	62	6	0
60	80	0	0
